,CREDIT SCORE,FIRST_PAYMENT_DATE,FIRST_TIME_HOMEBUYER_FLAG,MATURITY_DATE,MSA_CODE,MI_PERCENTAGE,NUMBER_OF_UNITS,OCCUPANCY_STATUS,ORIGINAL_CLTV,DTI,ORIGINAL_UPB,ORIGINAL_LTV,ORIGINAL_INTEREST_RATE,CHANNEL,PPM_FLAG,Amortization_type,STATE,PROPERTY TYPE,POSTAL CODE,id_loan,LOAN_PURPOSE,ORIGINAL_LOAN_TERM,NUMBER_BORROWERS,SELLER NAME,Servicer_Name,SUPER CONFORMING FLAG,LSN,PROGRAM INDICATOR,HARP_INDICATOR,PROPERTY_VALUATION_METHOD,IO_INDICATOR
3369,690,202103,N,205102,36420.0,30,1,P,95,32,163000,95,2.75,C,N,FRM,OK,PU,73000,F21Q11611874,P,360,2,U.S. BANK N.A.,U.S. BANK N.A.,,,9,,2,N
3370,802,202104,N,204103,,0,1,P,40,31,260000,40,2.25,R,N,FRM,WI,SF,54800,F21Q11611892,N,240,2,Other sellers,Other servicers,,,9,,2,N
3371,732,202103,N,205102,16580.0,0,1,P,84,29,270000,64,3.0,R,N,FRM,IL,PU,61800,F21Q11611907,N,360,2,Other sellers,Other servicers,,,9,,2,N
3372,721,202103,N,205102,20100.0,30,1,P,95,19,196000,95,2.875,R,N,FRM,DE,PU,19900,F21Q11611923,P,360,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,Other servicers,,,9,,2,N
3373,796,202104,N,205103,16740.0,0,1,P,48,48,230000,48,2.5,R,N,FRM,NC,SF,28000,F21Q11611990,N,360,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
3374,681,202104,N,205103,35154.0,0,1,P,70,26,476000,70,2.99,R,N,FRM,NJ,SF,8800,F21Q11612062,C,360,2,"CROSSCOUNTRY MORTGAGE, LLC","CROSSCOUNTRY MORTGAGE, LLC",,,9,,2,N
3375,790,202105,N,203604,41180.0,0,1,P,57,14,165000,57,2.25,R,N,FRM,MO,PU,63000,F21Q11612090,C,180,1,Other sellers,Other servicers,,,9,,2,N
3376,808,202104,N,205103,,0,1,S,60,16,172000,60,2.75,R,N,FRM,IA,CO,51300,F21Q11612230,N,360,2,Other sellers,Other servicers,,,9,,2,N
3377,647,202104,N,205103,,0,1,P,80,25,170000,80,3.125,R,N,FRM,MI,SF,49600,F21Q11612278,P,360,1,Other sellers,Other servicers,,,9,,2,N
3378,800,202104,N,204103,19124.0,0,1,P,72,43,183000,72,2.75,R,N,FRM,TX,CO,75200,F21Q11612531,N,240,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,MATRIX FINANCIAL SERVICES CORPORATION,,,9,,2,N
3379,759,202104,N,205103,42220.0,0,1,S,29,8,531000,29,2.49,B,N,FRM,CA,PU,94900,F21Q11612856,N,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,2,N
3380,796,202103,N,205102,16984.0,0,1,P,63,22,232000,63,2.875,R,N,FRM,IL,SF,60100,F21Q11612988,C,360,1,Other sellers,Other servicers,,,9,,2,N
3381,683,202103,N,205102,31084.0,0,1,P,68,19,640000,68,2.99,R,N,FRM,CA,SF,91200,F21Q11613050,N,360,2,Other sellers,Other servicers,Y,,9,,1,N
3382,761,202104,N,205103,40140.0,25,1,P,90,31,439000,90,2.625,R,N,FRM,CA,PU,92300,F21Q11613084,P,360,1,Other sellers,Other servicers,,,9,,2,N
3383,809,202103,N,204602,14454.0,0,1,P,67,20,428000,67,2.75,B,N,FRM,MA,SF,2100,F21Q11613088,C,300,2,Other sellers,Other servicers,,,9,,1,N
3384,765,202103,N,204102,45104.0,0,1,P,64,16,704000,64,2.625,R,N,FRM,WA,PU,98400,F21Q11613172,N,240,2,Other sellers,Other servicers,Y,,9,,3,N
3385,778,202104,N,205103,22744.0,12,1,P,86,48,422000,86,2.75,R,N,FRM,FL,PU,33300,F21Q11613205,P,360,1,Other sellers,Other servicers,,,9,,2,N
3386,722,202103,N,205102,40900.0,0,1,P,80,34,320000,80,3.5,R,N,FRM,CA,SF,95600,F21Q11613294,C,360,1,Other sellers,Other servicers,,,9,,2,N
3387,690,202103,Y,205102,47220.0,0,1,P,62,27,240000,62,2.875,R,N,FRM,NJ,PU,8300,F21Q11613312,P,360,3,Other sellers,Other servicers,,,9,,1,N
3388,759,202103,N,205102,,0,1,P,67,28,497000,67,2.865,R,N,FRM,MA,SF,2500,F21Q11613322,N,360,2,Other sellers,Other servicers,,,9,,1,N
3389,659,202104,N,205103,23420.0,0,1,P,80,33,479000,80,2.625,B,N,FRM,CA,SF,93600,F21Q11613405,P,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,2,N
3390,778,202103,N,205102,19740.0,0,1,P,53,23,414000,53,2.625,C,N,FRM,CO,SF,80200,F21Q11613472,N,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,1,N
3391,780,202103,N,205102,25060.0,0,1,P,68,22,348000,68,2.875,C,N,FRM,MS,SF,39500,F21Q11613578,N,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,2,N
3392,711,202103,N,205102,17660.0,25,1,S,90,42,413000,90,2.75,C,N,FRM,ID,PU,83800,F21Q11613757,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N
3393,743,202104,N,205103,49340.0,0,1,P,64,35,214000,64,2.875,C,N,FRM,MA,SF,1500,F21Q11613828,N,360,1,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,1,N
3394,779,202104,N,203603,16700.0,0,1,P,63,37,277000,63,2.125,R,N,FRM,SC,SF,29400,F21Q11613886,N,180,2,Other sellers,Other servicers,,,9,,1,N
3395,745,202103,Y,205102,41700.0,0,1,P,80,30,138000,80,3.0,C,N,FRM,TX,CO,78200,F21Q11614121,P,360,1,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,2,N
3396,697,202104,N,205103,49180.0,0,1,P,80,26,304000,80,2.875,R,N,FRM,NC,PU,27000,F21Q11614242,P,360,2,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N
3397,809,202103,Y,205102,41700.0,30,1,P,91,45,176000,91,2.875,R,N,FRM,TX,PU,78100,F21Q11614350,P,360,1,Other sellers,Other servicers,,,9,,2,N
3398,793,202103,N,205102,11244.0,0,1,P,69,30,684000,69,2.875,C,N,FRM,CA,PU,92600,F21Q11614433,N,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,Y,,9,,1,N
3399,746,202104,N,205103,45300.0,30,1,P,95,32,421000,95,2.75,C,N,FRM,FL,PU,34600,F21Q11614531,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
3400,778,202103,Y,205102,14260.0,0,1,P,80,42,340000,80,2.25,C,N,FRM,ID,SF,83700,F21Q11614553,P,360,1,Other sellers,Other servicers,,,H,,2,N
3401,718,202103,N,205102,12060.0,0,1,P,80,47,304000,80,2.75,R,N,FRM,GA,SF,30600,F21Q11614589,P,360,2,Other sellers,Other servicers,,,9,,2,N
3402,628,202104,N,205103,29460.0,0,1,P,68,41,185000,68,2.99,R,N,FRM,FL,PU,33800,F21Q11614594,N,360,2,Other sellers,Other servicers,,,9,,1,N
3403,781,202103,N,205102,12420.0,0,1,P,57,33,528000,57,2.875,R,N,FRM,TX,SF,78700,F21Q11614643,N,360,1,Other sellers,Other servicers,,,9,,2,N
3404,674,202103,N,205102,,0,1,P,64,40,160000,64,3.375,C,N,FRM,TN,SF,38500,F21Q11614656,C,360,1,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,1,N
3405,763,202103,N,205102,27260.0,0,1,P,80,41,387000,80,2.5,C,N,FRM,FL,PU,32200,F21Q11614886,P,360,2,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,2,N
3406,792,202103,N,205102,27260.0,0,1,P,62,50,262000,62,2.625,C,N,FRM,FL,PU,32000,F21Q11614889,P,360,1,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,2,N
3407,782,202103,N,205102,35154.0,25,1,P,90,27,482000,90,2.75,C,N,FRM,NJ,SF,8500,F21Q11614992,P,360,2,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,9,,2,N
3408,809,202104,N,205103,24340.0,0,1,P,55,28,174000,55,2.875,R,N,FRM,MI,SF,48800,F21Q11615270,C,360,1,Other sellers,Other servicers,,,9,,1,N
3409,791,202104,N,203603,19780.0,0,1,P,54,18,220000,54,2.25,R,N,FRM,IA,SF,50200,F21Q11615369,N,180,2,Other sellers,Other servicers,,,9,,1,N
3410,788,202104,N,205103,24340.0,25,1,P,89,27,120000,89,2.875,R,N,FRM,MI,SF,49500,F21Q11615386,N,360,1,Other sellers,Other servicers,,,9,,2,N
3411,712,202104,Y,205103,,12,1,P,85,43,89000,85,2.75,R,N,FRM,TX,SF,77800,F21Q11615439,P,360,1,Other sellers,"PNC BANK, NA",,,9,,2,N
3412,803,202104,N,204103,12580.0,0,1,P,43,18,282000,43,2.25,C,N,FRM,MD,SF,21100,F21Q11615450,N,240,2,TRUIST BANK,TRUIST BANK,,,9,,1,N
3413,688,202103,N,205102,35004.0,0,1,P,59,24,522000,59,2.75,C,N,FRM,NY,SF,11500,F21Q11615480,N,360,2,Other sellers,Other servicers,,,9,,1,N
3414,760,202104,N,203603,34980.0,6,1,P,82,35,435000,82,2.0,R,N,FRM,TN,PU,37000,F21Q11615492,N,180,1,Other sellers,Other servicers,,,9,,2,N
3415,699,202103,N,205102,38060.0,0,1,P,58,31,197000,58,3.499,C,N,FRM,AZ,SF,85200,F21Q11615548,C,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
3416,704,202104,N,205103,34940.0,0,1,P,74,45,295000,74,3.625,R,N,FRM,FL,SF,34100,F21Q11615558,N,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
3417,654,202103,Y,205102,41180.0,0,1,P,70,38,130000,70,3.125,C,N,FRM,MO,PU,63300,F21Q11615797,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
3418,774,202103,Y,205102,35084.0,30,1,P,95,36,380000,95,2.75,C,N,FRM,NJ,SF,7000,F21Q11615984,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
3419,738,202103,Y,205102,46060.0,25,1,P,95,39,153000,95,2.5,C,N,FRM,AZ,PU,85700,F21Q11616007,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N
3420,760,202103,Y,205102,40900.0,12,1,P,85,44,421000,85,2.625,C,N,FRM,CA,SF,95800,F21Q11616131,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N
3421,764,202103,Y,205102,31084.0,30,1,P,95,42,591000,95,2.75,C,N,FRM,CA,SF,91300,F21Q11616140,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",Y,,9,,2,N
3422,791,202104,Y,205103,23224.0,12,1,P,90,40,153000,90,2.75,R,N,FRM,MD,CO,20900,F21Q11616256,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,H,,2,N
3423,777,202104,N,205103,26420.0,30,1,P,95,31,269000,95,2.875,R,N,FRM,TX,PU,77400,F21Q11616337,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
3424,793,202103,N,205102,23104.0,0,1,P,80,33,236000,80,2.625,C,N,FRM,TX,SF,76000,F21Q11616443,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
3425,784,202104,N,205103,35084.0,25,1,P,90,44,270000,90,2.5,R,N,FRM,NJ,SF,7000,F21Q11616464,P,360,1,Other sellers,Other servicers,,,9,,2,N
3426,802,202103,N,203602,10580.0,0,1,P,63,39,220000,63,2.25,R,N,FRM,NY,SF,12000,F21Q11616624,N,180,1,Other sellers,Other servicers,,,9,,2,N
3427,804,202103,N,205102,33340.0,0,1,P,29,44,200000,29,2.625,C,N,FRM,WI,PU,53000,F21Q11616739,P,360,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,1,N
3428,794,202104,N,204103,19780.0,0,1,P,70,23,189000,70,2.375,C,N,FRM,IA,SF,50300,F21Q11616740,N,240,2,HOME POINT FINANCIAL CORPORATION,HOME POINT FINANCIAL CORPORATION,,,9,,1,N
3429,772,202103,N,204102,45940.0,0,1,I,75,34,176000,75,3.0,C,N,FRM,NJ,CO,8600,F21Q11616830,N,240,1,"AMERIHOME MORTGAGE COMPANY, LLC","AMERIHOME MORTGAGE COMPANY, LLC",,,9,,2,N
